,index,text,sentiment,confidence,pain_points,summary_zh
144,144,快递非常给力哦，昨天下单今天上午就到了，款式不错，大小正好，质量很好，非常满意...,positive,0.95,,用户对快递速度、款式、尺寸和质量都非常满意，整体评价积极。
145,145,发货和物流都非常快，京东购物信得过，一直用这款洗发水，套装挺超值的，日期到2019年。...,positive,0.95,,用户称赞发货和物流速度快，信任京东，对洗发水套装表示满意，认为超值，并提到产品日期到2019年。
146,146,实际裤子收到的比网上看的颜色深的多。无语了...,negative,0.9,颜色不符,用户反映收到的裤子颜色比网上展示的深很多，表示失望。
147,147,穿一次扔了，各种沾毛，黑变白...,negative,0.9,"沾毛,颜色褪变",用户表示商品仅穿一次就丢弃，因为容易沾毛且黑色褪色变白，质量不佳。
148,148,送给妈妈看剧用的，她说很喜欢...,positive,0.95,,用户购买商品送给妈妈看剧用，妈妈表示很喜欢，整体评价积极。
149,149,货刚到，送货速度非常快，很满意。...,positive,0.95,,用户对送货速度非常满意，整体评价积极。
150,150,京东送货就是快 快递小哥赞? 跟我在商场买的对比了一下 只是页面和瓶上都写的是750ml 实际就是7...,negative,0.8,尺寸不符,用户称赞京东物流快速和快递员服务好，但指出商品页面和瓶身标注750ml，实际只有700ml，存在尺寸不符的问题。
151,151,有烂的混装。。。。。。。。。。...,negative,0.9,质量差,用户反映商品中有损坏或劣质物品混入，表达不满。
152,152,个头细，味道酸、是性价比极差的商品。...,negative,0.95,"个头细,味道酸,性价比差",用户批评商品个头小、味道酸，认为性价比极差。
153,153,一看就是退货过来的，连包装都没有...,negative,0.9,包装缺失,用户抱怨商品疑似退货品且无包装，表达不满。
154,154,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错...,positive,0.95,,用户多次重复“不错”，表达高度满意，无具体问题提及。
155,155,个头儿好小，包装还算严实，希望味道能不错...,neutral,0.6,个头小,用户提到商品个头较小，但包装尚可，并对味道抱有期待。
156,156,苹果尺寸很标准，都不大，口味上跟其它苹果差不多，吃不出来区别...,neutral,0.7,,用户认为苹果尺寸标准但不大，口味与其他苹果相似，无明显区别。
157,157,对从郑州市以外的其他城市前往机场搭早班机的客人是个不错的选择，专车随叫随发，非常方便，房间干净。特别...,positive,0.9,,用户称赞酒店交通便利、房间干净，且骚扰电话问题已改善，整体体验良好。
158,158,毕业那年兴高采烈的满世界投简历，加多宝汇源伊利蒙牛还有好多没记住名字的，投完了当人家要你，如愿以偿的...,neutral,0.6,,用户分享毕业求职经历，表达因距离远而放弃工作机会的遗憾和自责，未提及具体商品或服务。
159,159,不错太棒了 应该是正品 无硅油这款用起来凉凉的 很适合夏天用很舒爽呢 洗完头发也很好闻 樱花的还没试...,positive,0.95,,用户对产品表示满意，认为正品、使用感好、适合夏天，并赞赏618优惠活动，整体购物体验愉快。
160,160,买了两天才打开，发现有划痕找客服退货说是我搞到的。当初说是全网通的手机店说不支持电信卡。只能说后悔买...,negative,0.95,"客服推卸责任,商品划痕,网络支持不符",用户购买手机后发现划痕，客服拒绝退货，且商品网络支持与描述不符，导致无法退货并感到后悔。
161,161,"靠近浦东机场,有免费大巴,就是大巴司机态度让人不爽....",neutral,0.7,司机态度差,评论提到靠近浦东机场和免费大巴服务是优点，但大巴司机态度不佳。
162,162,1、中午快一点到店，说房间没有收拾出来，只好寄存行李出去玩，晚上回到房间满屋烟味，打电话后给调了同型...,negative,0.95,"房间烟味,电视雪花,设施不人性化,浴缸浅,早餐品种少,价格不合理",用户对酒店服务、设施和早餐质量表示强烈不满，包括房间烟味、电视问题、设施不便、浴缸设计缺陷和早餐品种稀少，整体评价负面。
163,163,用了一个星期，很满意！是正品系统流畅分辩率高，给五星好评！！???...,positive,0.95,,用户使用一周后非常满意，确认是正品，系统流畅且分辨率高，给予五星好评。
164,164,"交通:便利的,随便叫辆taxi,肯定知道的;装饰:格调比较深,风格吧.洗浴用品过得去,浴巾显得旧了;...",neutral,0.7,"浴巾旧,早餐差,服务查询不便,门童态度冷淡",评论对交通便利、部分服务和装饰风格表示认可，但指出浴巾旧、早餐质量差、服务查询不便和门童态度冷淡等问题，整体评价中性。
165,165,看起来不错，不过还没有用，打折囤货...,positive,0.7,,用户表示商品看起来不错，因打折而囤货，但尚未使用。
166,166,真心垃圾，耗电特别大。真感觉没设么卵用。...,negative,0.95,"耗电大,功能无用",用户批评产品耗电量大且感觉无用，表达强烈不满。
167,167,做工不好，和实体不匹配，压后摄像头，和听筒...,negative,0.9,"做工不好,和实体不匹配,压后摄像头,和听筒",用户指出做工差、与实体不符，并提到压到后摄像头和听筒的问题。
168,168,酒店位于东方绿舟边缘，环境优美，空气清新。方便之处在于可直接从酒店旁的小路进入东方绿舟园区，无需门票...,positive,0.9,,用户称赞酒店环境优美、空气清新，并特别提到可直接进入东方绿舟园区无需门票，整体体验良好。
169,169,质量不错，值得购买，价钱也实惠...,positive,0.95,,用户认为商品质量好，价格实惠，值得购买。
170,170,"装的是V系统,标配了1G内存,当然不够用了,于是要加内存,心里呼:奸商啊,哈哈....",neutral,0.6,内存不足,用户评论指出标配1G内存不够用，需要额外加内存，并调侃商家为奸商，整体情感偏向中性。
171,171,真心不好，一箱12个小苹果就有3个坏的，京东发货太不负责任了...,negative,0.95,"质量差,发货不负责任",用户抱怨苹果有坏果，并批评京东发货不负责任。
172,172,感觉描述的很肤浅，而且很多词句都是反复来说...,negative,0.8,,用户认为商品描述肤浅且内容重复，表达不满。
173,173,当初就是因为儿子喜欢汽车，加上这本书好评如潮，所以才决定买的。可是买来一个月了，他只翻了一次，就再也...,positive,0.95,,用户最初因儿子兴趣购买此书，初期使用较少，但后来儿子非常喜爱，每天阅读多次，成为家庭图书宝贝，强烈推荐给喜欢汽车的小男孩家庭。
174,174,严重怀疑是假货，和超市买的天壤之别。还有瓶子挤不出洗发水。...,negative,0.95,"质量差,包装问题",用户怀疑商品是假货，与超市购买的有明显差异，且瓶子无法挤出洗发水。
175,175,很满意啊，物流很快，第二天就到了，比超市便宜好多。...,positive,0.95,,用户对商品非常满意，称赞物流速度快且价格比超市便宜。
176,176,京东越来越差，明明有赠品，下单根本没得选择赠品要还是不要，下单出来没有赠品，结果又不是我人为，客服根...,negative,0.95,"客服不作为,网站建设问题,赠品缺失",用户投诉京东网站赠品选项缺失，客服推卸责任且不作为，建议后台人员检讨软件问题。
177,177,收货时不让验货，屏幕实在太差，现在申请退货都一整天了还没人来取件...,negative,0.95,"收货不让验货,屏幕质量差,退货取件慢",用户投诉收货时无法验货，屏幕质量差，且退货申请后取件延迟。
178,178,618和平时促销一个价。有些商品反而加价。618买的 今天才拿到 发了第三次货才拿到。真的无语。...,negative,0.9,"物流慢,发货问题",用户抱怨618促销价格不实，部分商品加价，且物流延迟，多次发货才收到，表达不满。
179,179,用了QQ10元礼券以后，就是那么好奇一下子，看撤单以后这个礼券还能不能用，竟然说，不能用!辛辛苦苦赚...,negative,0.95,"客服响应慢,系统设置不合理",用户因撤单后礼券无法使用且客服周末不上班，表达强烈不满，要求退款并批评系统设计。
180,180,一个不错的酒店，如果不抽烟的话就住4层的无烟客房，适合一家人度假住，我在那里住了4个晚上，当然海滩和...,neutral,0.7,,评论者认为酒店不错，适合家庭度假，但指出海滩和园林不如亚龙湾天域度假酒店漂亮，且缺少吊床等设施。
181,181,整体还不错！性价比高！虽然不大，个头合适吃一个，太大容易浪费～很不错，还没有尝...,positive,0.9,,用户对商品整体满意，认为性价比高，尺寸合适，但尚未品尝。
182,182,裤子超级超级棒，包裹刚到，老公就迫不及待的拆开试穿，大小刚好合适，今天下午洗了也不褪色，价格也很合理...,positive,0.95,,用户对裤子非常满意，称赞大小合适、不褪色、价格合理，并表扬物流快速，表示会再次光顾。
183,183,孩子2岁半，不喜欢，可能大一点会好些...,neutral,0.6,,用户表示孩子不喜欢该商品，但认为可能适合更大年龄的孩子。
184,184,性价比很低，八九百的价格真心不是一个好的选择，只是距离出差的地点近点罢了。...,negative,0.9,性价比低,用户认为商品性价比很低，价格过高，仅因地理位置便利才选择购买。
185,185,很喜欢好用。支持国货，没毛病！物流很给力。...,positive,0.95,,用户对商品表示满意，称赞好用并支持国货，同时表扬物流快速。
186,186,大屏，就是爽，看电影，听歌很好，音质和画质很棒，特意用了几天才来评价，是正品！...,positive,0.95,,用户称赞大屏体验好，音质和画质优秀，确认是正品，整体非常满意。
187,187,差评，一起买的纸巾居然没经过我同意就自动退货了...,negative,0.95,自动退货,用户对未经同意自动退货的纸巾表示不满，给出差评。
188,188,物流特别快，618活动买的，东西特别好！...,positive,0.95,,用户称赞物流快速，商品质量好，对618活动购买表示满意。
189,189,这个火龙果太小，还不新鲜，太坑人，劝后面买的人不要买，谁买谁后悔...,negative,0.95,"尺寸小,不新鲜",用户抱怨火龙果尺寸太小且不新鲜，强烈建议其他买家不要购买。
190,190,洗了头皮超级痒，第二天长很多头屑 绝对不是正品，我在其它地方买起就不会出现这样...,negative,0.95,"质量差,非正品",用户使用后头皮发痒并产生头屑，怀疑商品不是正品，与其它购买体验对比后表示不满。
191,191,以前超市买的，用的挺好的。京东上买的洗了一次，头皮痒得不行，瓶子包装也不太一样，是不是假的啊？...,negative,0.9,"头皮痒,包装不同,疑似假货",用户反映在京东购买的产品使用后头皮发痒，包装与超市购买的不同，怀疑是假货。
192,192,1、待机时间实在是太短了，基本上只能用一天!2、更换电池时，致命的弱点，时间需要重设!3、更要命的是...,negative,0.95,"待机时间短,更换电池时间重设,阳光下屏幕不可见,关机闹钟不响,声音小,大屏幕拨号问题",用户抱怨手机待机时间短、更换电池后时间需重设、阳光下屏幕不可见、关机闹钟不响、声音小以及大屏幕拨号功能问题，整体体验差。
193,193,第一次烧的很快，第二次就开始慢了，总体还不错...,positive,0.7,,用户反映产品第一次使用速度快，第二次变慢，但总体评价不错。
194,194,"不错的酒店,女儿很喜欢,尤其是室外游泳池,很对小孩子的胃口补充点评 2008年8月11日 ： 我定的...",positive,0.9,,用户对酒店整体满意，女儿喜欢室外游泳池，早餐有米老鼠等角色表演，但提到对外国小孩更热情，可能存在服务差异。
195,195,洗了头皮不舒服，痒，不正宗...,negative,0.9,"质量差,不正宗",用户使用后头皮不适、发痒，并认为产品不正宗。
196,196,"都写需要发票,可是都没发票.....连续买的3单都没发票..................",negative,0.9,无发票,用户抱怨连续三单购买都未收到发票，表达了对发票缺失的不满。
197,197,京东无语了，垃圾中的战斗机，买了东西他十天不给发货，强制取消订单还不给退钱...,negative,0.95,"发货慢,退款问题",用户投诉京东发货延迟十天，强制取消订单后未退款，表达强烈不满。
198,198,掉色太厉害了！穿完腿上都是颜料！...,negative,0.95,掉色严重,用户反映商品掉色严重，穿着后腿上沾满颜料，表示不满。
199,199,亲的服务态度挺好的，物流信息超级给力，几天就收到了，卖家也挺好的，裤子质量很不错，很满意的一次购物，...,positive,0.95,,用户对客服态度、物流速度和裤子质量都很满意，表示会再次光顾。
